wikidata_id,name,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions,name_upper
Q12735517,Mihai Tudose,2024-07-16,1967-03-06,Brăila,Dimitrie Cantemir Christian University,politician || jurist,,Social Democratic Party,,"member of the Chamber of Deputies of Romania (2000-01-01 to 2004-01-01) || Minister of the Economy, Digitalization, Entrepreneurship and Tourism (2014-12-17 to 2015-11-17) || member of the Chamber of Deputies of Romania (2008-12-12 to 2012-12-10) || member of the Chamber of Deputies of Romania (2016-12-21 to 2019-06-19) || member of the Chamber of Deputies of Romania (2012-01-01 to 2016-01-01) || Minister of the Economy, Digitalization, Entrepreneurship and Tourism (2017-02-23 to 2017-06-29) || Representative of the Parliamentary Assembly of the Council of Europe (2007-01-22 to 2015-04-19) || substitute member of the Parliamentary Assembly of the Council of Europe (2001-01-22 to 2007-01-22) || Prime Minister of Romania (2017-06-29 to 2018-01-16) || associate professor || Representative of the Parliamentary Assembly of the Council of Europe (2016-05-27 to 2017-04-23) || member of the Chamber of Deputies of Romania (2004-01-01 to 2008-01-01)",MIHAI TUDOSE
Q63094096,Mika Aaltola,2024-07-16,1969-05-02,Jämsänkoski,Columbia University || University of Tampere,politician || political scientist,,,,director (from http://www) || editor-in-chief (from http://www),MIKA AALTOLA
Q55376476,Milan Mazurek,2024-07-16,1994-01-24,Kežmarok,,businessperson || politician,,Republic,,Member of the National Council of the Slovak Republic (2020-03-20 to 2023-10-25) || Member of the National Council of the Slovak Republic (2016-03-23 to 2019-07-03),MILAN MAZUREK
Q38655134,Milan Uhrík,2024-07-16,1984-12-21,Nové Zámky,Slovak University of Technology in Bratislava,politician,,Republic,,Member of the National Council of the Slovak Republic,MILAN UHRÍK
Q1628512,Milan Zver,2024-07-16,1962-05-25,Ljubljana,University of Ljubljana || University of Graz,politician || sociologist,University of Maribor,Slovenian Democratic Party,,,MILAN ZVER
Q24346604,Mircea Hava,2024-07-16,1956-12-26,Oradea,,engineer || politician,,National Liberal Party,,mayor of Alba Iulia (2004-01-01 to 2008-01-01) || mayor of Alba Iulia (2016-01-01 to 2019-06-01) || mayor of Alba Iulia (2008-01-01 to 2012-01-01) || mayor of Alba Iulia (2012-01-01 to 2016-01-01) || mayor of Alba Iulia (2000-01-01 to 2004-01-01) || mayor of Alba Iulia (1996-01-01 to 2000-01-01),MIRCEA HAVA
Q74579100,Mireia Borrás Pabón,2024-07-16,1986-10-14,Madrid,Universidad Carlos III de Madrid,politician || entrepreneur || consultant,,Vox,,Member of the Congress of Deputies (from 2019-12-03),MIREIA BORRÁS PABÓN
Q64452485,Miriam Lexmann,2024-07-16,1972-12-02,Bratislava,Comenius University,politician,,Christian Democratic Movement,,,MIRIAM LEXMANN
Q1285126,Mirosława Nykiel,2024-07-16,1953-09-23,Wańkowa,University of Silesia in Katowice,politician,,Civic Platform,,substitute member of the Parliamentary Assembly of the Council of Europe (2012-01-23 to 2013-01-21) || Representative of the Parliamentary Assembly of the Council of Europe (2013-01-21 to 2015-01-25) || member of the Sejm || substitute member of the Parliamentary Assembly of the Council of Europe (2008-01-21 to 2011-01-24) || Representative of the Parliamentary Assembly of the Council of Europe (2011-01-24 to 2012-01-23),MIROSŁAWA NYKIEL
Q28860746,Mohammed Chahim,2025-02-13,1985-04-18,Fez,,politician,,Labour Party,,municipal councillor of Helmond,MOHAMMED CHAHIM
Q441032,Monika Beňová,2024-07-16,1968-08-15,Bratislava,"Faculty of Political Science and International Relations, Matej Bel University",politician,,Direction – Social Democracy,,,MONIKA BEŇOVÁ
Q78415,Monika Hohlmeier,2024-07-16,1962-07-02,Munich,FernUniversität in Hagen || Dante-Gymnasium Munich,politician,,Christian Social Union of Bavaria,Bavarian Order of Merit || Cross of the Order of Merit of the Federal Republic of Germany,member of the Landtag of Bavaria,MONIKA HOHLMEIER
Q30010698,Moritz Körner,2024-07-16,1990-08-03,Wiesbaden,,politician,,Free Democratic Party,,member of the Landtag of North Rhine-Westphalia,MORITZ KÖRNER
Q546215,Morten Løkkegaard,2024-07-16,1964-12-20,Helsingør,Danish School of Journalism,politician || journalist || communications adviser,,Venstre,,substitute member of the Parliamentary Assembly of the Council of Europe (2015-09-28 to 2016-04-17) || member of the Folketing,MORTEN LØKKEGAARD
Q63537174,Mounir Satouri,2024-07-16,1975-05-25,Casablanca,,politician || top official,,Socialist Party || The Ecologists – Europe Écologie Les Verts || The Greens,,member of the regional council of Île-de-France (2015-12-13 to 2021-06-07) || Q65494332 || member of the regional council of Île-de-France (2010-03-26 to 2015-12-01),MOUNIR SATOURI
Q65587999,Murielle Laurent,2024-07-16,1977-09-21,Joigny,,politician || employee || corporate administrative and commercial executive,,,,Q65484627 (2014-03-23 to 2020-05-17) || Metropolitan councillor of Lyon (from 2014-03-23) || Q65484627 (from 2020-05-18) || Mayor of Feyzin (2017-07-08 to 2020-05-17) || Mayor of Feyzin (2020-05-18 to 2024-06-30),MURIELLE LAURENT
Q47001311,Mélanie Disdier,2024-07-16,1974-01-27,Cambrai,,politician || business executive || commerçants et assimilés,,National Rally,,municipal councillor of Caudry (from 2003-01-01) || conseiller régional des Hauts-de-France (from 2016-01-01),MÉLANIE DISDIER
