Person,Category,Institution,Field of Study,Degree,Source Type,Source Name,Evidence Quote
Jonathan Hill,commissioner,UCL,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Hill joined University College London, part of the University of London, England, in 1989."
Jonathan Hill,commissioner,University College London,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Jonathan Hill received a Diploma from the Architectural Association School of Architecture in 1983, a Master of Science degree from University College London in 1990"
Jonathan Hill,commissioner,University College London,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),and a Doctor of Philosophy degree from the University of London in 2000
Jozef Síkela,commissioner,Prague University Of Economics And Business,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),Wikidata P69: Prague University of Economics and Business
João de Deus Pinheiro,commissioner,Instituto Superior Técnico,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),João de Deus Pinheiro has a licentiate degree in chemical-industrial engineering by the Instituto Superior Técnico (1970)
João de Deus Pinheiro,commissioner,University Of Birmingham,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),and a doctorate degree in the same field by the University of Birmingham (1976)
Jutta Urpilainen,commissioner,University Of Jyväskylä,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"She studied at the University of Jyväskylä, where she graduated with a Master's of Education in 2002."
Jyrki Katainen,commissioner,Siilinjärvi Senior High School,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),He graduated from Siilinjärvi Senior High School in 1990.
Jyrki Katainen,commissioner,University Of Leicester,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He obtained a Master's degree in political science from the University of Tampere, spending one year at the University of Leicester as an Erasmus exchange student."
Jyrki Katainen,commissioner,University Of Tampere,Political Science,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"He obtained a Master's degree in political science from the University of Tampere, spending one year at the University of Leicester as an Erasmus exchange student."
Ján Figeľ,commissioner,St. Elizabeth'S School Of Medicine And Social Work In Bratislava,,PhD,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"In 2007, Figeľ received a PhD in the field of social work at St. Elizabeth's School of Medicine and Social Work in Bratislava, a university-level private academic institution."
Kadri Simson,commissioner,Tartu 10Th Middle School,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),"Simson graduated from Tartu 10th Middle School in 1995, Tartu University in 2000, (majoring in history)."
Kadri Simson,commissioner,UCL,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She holds an MA in Political Science from University College London (2003).
Kadri Simson,commissioner,University College London,,,wikidata,Wikidata SPARQL — Commissioner CVs (all commissions),She holds an MA in Political Science from University College London (2003).
