name,country,national_party,ep_group,notes
Cristina Gutiérrez-Cortines,Spain,&#160;,PP,EPP-ED
Catherine Guy-Quint,France,Massif central – Centre,PS,PES
András Gyürk,Hungary,&#160;,FIDESZ/MPSZ,EPP-ED
Fiona Hall,United Kingdom,North East England,Lib Dem,ALDE
Ioan Lucian Hămbăşanfrom 1 March 2009,Romania,&#160;,PD-L,EPP-ED
David Hammerstein Mintz,Spain,&#160;,Los Verdes,Greens-EFA
Benoît Hamon,France,Est,PS,PES
Małgorzata Handzlik,Poland,SL,PO,EPP-ED
Daniel Hannan,United Kingdom,South East England,Con,EPP-ED
Klaus Hänsch,Germany,&#160;,SPD,PES
Gábor Harangozó,Hungary,&#160;,MSZP,PES
Malcolm Harbour,United Kingdom,West Midlands,Con,EPP-ED
Marian Harkin,Republic of Ireland,North-West,&#160;,ALDE
Rebecca Harms,Germany,&#160;,Die Grünen,Greens-EFA
Joel Hasse Ferreirafrom 12 March 2005,Portugal,&#160;,PS,PES
Satu Hassi,Finland,&#160;,Vihreät,Greens-EFA
Jutta Haug,Germany,&#160;,SPD,PES
Adeline Hazan,France,Est,PS,PES
Chris Heaton-Harris,United Kingdom,East Midlands,Con,EPP-ED
Anna Hedh,Sweden,&#160;,S,PES
Gyula Hegyi,Hungary,&#160;,MSZP,PES
Roger Helmer,United Kingdom,East Midlands,Con,EPP-ED
Jacky Henin,France,Nord-Ouest,PCF,EUL/NGL
Erna Hennicot-Schoepges,Luxembourg,&#160;,CSV,EPP-ED
Jeanine Hennis-Plasschaert,Netherlands,&#160;,VVD,ALDE
Edit Herczog,Hungary,&#160;,MSZP,PES
María Esther Herranz García,Spain,&#160;,PP,EPP-ED
Luis Herrero-Tejedor Algar,Spain,&#160;,PP,EPP-ED
Ruth Hieronymi,Germany,North Rhine-Westphalia,CDU,EPP-ED
Jim Higgins,Republic of Ireland,North-West,FG,EPP-ED
Gunnar Hökmark,Sweden,&#160;,M,EPP-ED
Jens Holmfrom 27 September 2006,Sweden,&#160;,V,EUL/NGL
Krzysztof Hołowczycfrom 6 December 2007,Poland,PD &amp; WM,PO,EPP-ED
Mary Honeyball,United Kingdom,London,Lab,PES
Karsten Friedrich Hoppenstedt,Germany,Lower Saxony,CDU,EPP-ED
Milan Horáček,Germany,&#160;,Die Grünen,Greens-EFA
Richard Howitt,United Kingdom,East of England,Lab,PES
Ján Hudacký,Slovakia,&#160;,KDH,EPP-ED
Ian Hudghton,United Kingdom,Scotland,SNP,Greens-EFA
Stephen Hughes,United Kingdom,North East England,Lab,PES
Filiz Husmenovafrom 1 January 2007,Bulgaria,&#160;,DPS,ALDE
Alain Hutchinson,Belgium,French Community,PS,PES
Jana Hybášková,Czech Republic,&#160;,ED,EPP-ED
Anna Ibrisagic,Sweden,&#160;,M,EPP-ED
Sophia Helena in 't Veld,Netherlands,&#160;,D66,ALDE
Mikel Irujo Amezagafrom 19 June 2007,Spain,&#160;,EA,Greens-EFA
