Name,Country,Constituency,National_Party,EP_Group,In_Office_Since,Birth_Date,Notes
Petr Bystron,Germany,,AfD,Europe of Sovereign Nations,,16 July 2024,
Siegbert Droese,Germany,,AfD,Europe of Sovereign Nations,,16 July 2024,
Tomasz Froelich,Germany,,AfD,Europe of Sovereign Nations,,16 July 2024,
Marc Jongen,Germany,,AfD,Europe of Sovereign Nations,,16 July 2024,
Alexander Jungbluth,Germany,,AfD,Europe of Sovereign Nations,,16 July 2024,
Mary Khan-Hohloch,Germany,,AfD,Europe of Sovereign Nations,,16 July 2024,
Hans Neuhoff,Germany,,AfD,Europe of Sovereign Nations,,16 July 2024,
Volker Schnurrbusch,Germany,,AfD,Europe of Sovereign Nations,,4 April 2025,
Alexander Sell,Germany,,AfD,Europe of Sovereign Nations,,16 July 2024,
Katarina Barley,Germany,,SPD,S&D,,2 July 2019,
Gabriele Bischoff,Germany,,SPD,S&D,,2 July 2019,
Udo Bullmann,Germany,,SPD,S&D,,20 July 1999,
Delara Burkhardt,Germany,,SPD,S&D,,2 July 2019,
Vivien Costanzo,Germany,,SPD,S&D,,16 July 2024,
Tobias Cremer,Germany,,SPD,S&D,,16 July 2024,
Matthias Ecke,Germany,,SPD,S&D,,3 October 2022,
Jens Geier,Germany,,SPD,S&D,,14 July 2009,
Bernd Lange,Germany,,SPD,S&D,,14 July 2009[h],
Maria Noichl,Germany,,SPD,S&D,,1 July 2014,
René Repasi,Germany,,SPD,S&D,,2 February 2022,
Sabrina Repp,Germany,,SPD,S&D,,16 July 2024,
Birgit Sippel,Germany,,SPD,S&D,,14 July 2009,
Tiemo Wölken,Germany,,SPD,S&D,,14 November 2016,
Rasmus Andresen,Germany,,Greens,Greens/EFA,,2 July 2019,
Michael Bloss,Germany,,Greens,Greens/EFA,,2 July 2019,
Anna Cavazzini,Germany,,Greens,Greens/EFA,,2 July 2019,
Daniel Freund,Germany,,Greens,Greens/EFA,,2 July 2019,
Alexandra Geese,Germany,,Greens,Greens/EFA,,2 July 2019,
Martin Häusling,Germany,,Greens,Greens/EFA,,14 July 2009,
Sergey Lagodinsky,Germany,,Greens,Greens/EFA,,2 July 2019,
Katrin Langensiepen,Germany,,Greens,Greens/EFA,,2 July 2019,
Erik Marquardt,Germany,,Greens,Greens/EFA,,2 July 2019,
Hannah Neumann,Germany,,Greens,Greens/EFA,,2 July 2019,
Jutta Paulus,Germany,,Greens,Greens/EFA,,2 July 2019,
Terry Reintke,Germany,,Greens,Greens/EFA,,1 July 2014,
Fabio De Masi,Germany,,BSW,Non-Inscrits,,16 July 2024[i],
Ruth Firmenich,Germany,,BSW,Non-Inscrits,,16 July 2024,
Thomas Geisel,Germany,,BSW,Non-Inscrits,,16 July 2024,
Friedrich Pürner,Germany,,BSW,Non-Inscrits,,16 July 2024,
Michael von der Schulenburg,Germany,,BSW,Non-Inscrits,,16 July 2024,
