Name,Country,Constituency,National_Party,EP_Group,wikidata_id,term_start,birth_date,birth_place,education,occupations,employers,party_history,awards,prev_positions
Piotr Müller,Poland,Pomeranian,PiS,ECR,Q48862378,2024-07-16,1989-05-02,Słupsk,"Q9295968 || Faculty of Law and Administration, University of Warsaw",politician || jurist,,Law and Justice,,member of the Sejm (2018-12-28 to 2024-01-01) || Spokesperson for The Council of Ministers of the Republic of Poland (from 2019-06-04)
Kosma Złotowski,Poland,Kuyavian–Pomeranian,PiS,ECR,Q925180,2024-07-16,1964-01-14,Bydgoszcz,University of Warsaw,politician,,Law and Justice || Centre Agreement – Polish Union || Conservative People's Party || Polish Christian Democratic Agreement,,member of the Sejm (2011-11-08 to 2014-05-27) || Member of the Senate of the Republic of Poland (2005-10-20 to 2007-11-04) || member of the Sejm (1997-10-20 to 2001-10-18)
Maciej Wąsik,Poland,Podlaskie & Warmian-Masurian,PiS,ECR,Q21282153,2024-07-16,1969-10-16,Warsaw,University of Warsaw,politician || official || archaeologist,Central Anticorruption Bureau || Chancellery of the Prime Minister of Poland || Ministry of Interior and Administration || Srebrna Sp. z o.o.,Law and Justice,,member of the Sejm || member of the Sejm || member of the Sejm || member of the Sejm
Małgorzata Gosiewska,Poland,Warsaw,PiS,ECR,Q6799365,2024-07-16,1966-07-22,Gdańsk,,politician,,Law and Justice,"Order of Honour || Order of Princess Olga, 3rd class",member of the Sejm
Tobiasz Bocheński,Poland,Warsaw,PiS,ECR,Q85869517,2024-07-16,1987-12-15,Łódź,University of Łódź,lawyer || politician,,,,
Adam Bielan,Poland,Masovian,PiS,ECR,Q2507571,2024-07-16,1974-09-12,Gdańsk,SGH Warsaw School of Economics || 9th Secondary School in Gdańsk,politician,,Law and Justice || Poland Comes First || Conservative People's Party || Right Alliance || Polska Razem || Agreement || Partia Republikańska,"Order of Merit (Ukraine), 3rd class",member of the Sejm
Jacek Ozdoba,Poland,Masovian,PiS,ECR,Q71966781,2024-07-16,1991-09-22,Warsaw,Cardinal Stefan Wyszyński University in Warsaw,politician || jurist,,Polska Razem,,council member || member of the Sejm (from 2019-11-12)
Waldemar Buda,Poland,Łódź,PiS,ECR,Q21282013,2024-07-16,1982-09-21,Turek,University of Łódź,politician || jurist,Maria Curie-Skłodowska University,Law and Justice,,"Minister of Economic Development, Labour and Technology (2022-04-08 to 2023-11-27) || member of the Sejm (from 2019-11-12)"
Marlena Maląg,Poland,Greater Poland,PiS,ECR,Q48842537,2024-07-16,1964-11-02,Ostrów Wielkopolski,Poznań University of Technology || Jan Długosz University,politician,,,,member of the Sejm || Minister of Labour and Social Policy (2019-11-15 to 2023-11-27)
Mariusz Kamiński,Poland,Lublin,PiS,ECR,Q3845166,2024-07-16,1965-09-25,Sochaczew,University of Warsaw,politician || dissident || historian,Solidarity || Telewizja Polska || Central Anticorruption Bureau || National Security Bureau || Q9284442 || Srebrna Sp. z o.o.,Law and Justice || Solidarity Electoral Action || Citizens' Movement for Democratic Action || Right Alliance,Cross of Freedom and Solidarity || Commander of the Order of Polonia Restituta,member of the Sejm || Secretary of State (2005-01-01 to 2006-01-01) || member of the Sejm || Polish minister without portfolio (2015-11-16 to 2023-11-27) || member of the Sejm || member of the Sejm || member of the Sejm || Minister of the Interior and Administration of Poland (2019-11-15 to 2023-11-27) || member of the Sejm || member of the Sejm
Daniel Obajtek,Poland,Subcarpathian,PiS,ECR,Q24429855,2024-07-16,1976-01-02,Myślenice,Private University of Environmental Sciences in Radom,engineer || politician || executive || manager,Orlen,Law and Justice,,chief executive officer (2018-02-05 to 2024-02-05)
Bogdan Rzońca,Poland,Subcarpathian,PiS,ECR,Q9175313,2024-07-16,1961-02-01,Zarzecze,University of the National Education Commission,politician,,Law and Justice,Knight of the Order of Polonia Restituta,member of the Sejm
Beata Szydło,Poland,Lesser Poland & Świętokrzyskie,PiS,ECR,Q4877021,2024-07-16,1963-04-15,Oświęcim,Jagiellonian University || SGH Warsaw School of Economics || Krakow University of Economics,politician || ethnologist,,Law and Justice,,member of the Sejm (2007-01-01 to 2011-01-01) || Prime Minister of Poland (2015-11-16 to 2017-12-11)
Dominik Tarczyński,Poland,Lesser Poland & Świętokrzyskie,PiS,ECR,Q21282143,2024-07-16,1979-03-27,Lublin,John Paul II Catholic University of Lublin,politician || film director,,Poland Comes First,,member of the Sejm || Representative of the Parliamentary Assembly of the Council of Europe (from 2016-01-25) || member of the Sejm
Arkadiusz Mularczyk,Poland,Lesser Poland & Świętokrzyskie,PiS,ECR,Q432867,2024-07-16,1971-02-04,Racibórz,Jagiellonian University,lawyer || politician,Chancellery of the Senate,Law and Justice || Solidarity Electoral Action || Sovereign Poland,Commander First Class of the Order of the Lion of Finland,member of the Sejm || Representative of the Parliamentary Assembly of the Council of Europe (from 2012-01-23)
Patryk Jaki,Poland,Silesian,PiS,ECR,Q11813593,2024-07-16,1985-05-11,Opole,Faculty of Social Sciences of University of Wrocław,politician || political scientist,,Sovereign Poland,,member of the Sejm || chairperson (2017-01-01 to http://www)
Jadwiga Wiśniewska,Poland,Silesian,PiS,ECR,,,,,,,,,,
Michał Dworczyk,Poland,Lower Silesian and Opole,PiS,ECR,,,,,,,,,,
Anna Zalewska,Poland,Lower Silesian and Opole,PiS,ECR,Q9155828,2024-07-16,1965-07-06,Świebodzice,University of Wrocław,politician,,Law and Justice,,Minister of National Education (2015-11-16 to 2019-06-04) || member of the Sejm
Joachim Brudziński,Poland,Lubusz and West Pomeranian,PiS,ECR,Q376746,2024-07-16,1968-02-04,Świerklaniec,University of Szczecin,politician || political scientist || journalist,,Law and Justice,,Deputy Marshal of the Sejm of the Republic of Poland (2015-11-12 to 2018-01-09) || member of the Sejm (2005-01-01 to 2019-01-01)
Ewa Zajączkowska-Hernik,Poland,Warsaw,KWiN,Europe of Sovereign Nations,Q122852043,2024-07-16,1990-01-20,Radom,Maria Curie-Skłodowska University,politician || journalist || history teacher,,New Hope || Confederation,,
Anna Bryłka,Poland,Greater Poland,KWiN,Non-Inscrits,Q122835372,2024-07-16,1990-09-01,Koło,University of Warsaw || Adam Mickiewicz University in Poznań || SGH Warsaw School of Economics,lawyer || politician || historian,,National Movement || Confederation,,
Tomasz Buczek,Poland,Subcarpathian,KWiN,Non-Inscrits,Q126487457,2024-07-16,1986-04-24,Kolbuszowa,,politician,,,,
Grzegorz Braun,Poland,Lesser Poland & Świętokrzyskie,KWiN,Non-Inscrits,Q168205,2024-07-16,1967-03-11,Toruń,University of Wrocław || University of Silesia in Katowice,screenwriter || politician || journalist || film director || director || opinion journalist,University of Wrocław,Confederation of the Polish Crown,For Peace and Human Rights Award 2025,member of the Sejm
Marcin Sypniewski,Poland,Silesian,KWiN,Europe of Sovereign Nations,Q126487455,2024-07-16,1979-01-30,Bydgoszcz,University of Gdańsk,lawyer || politician,,Real Politics Union || Congress of the New Right || New Hope,,
Stanisław Tyszka,Poland,Lower Silesian and Opole,KWiN,Europe of Sovereign Nations,Q21282147,2024-07-16,1979-04-11,Warsaw,"European University Institute || Faculty of Law and Administration, University of Warsaw",politician || jurist || legal historian || sociologist,University of Warsaw,New Hope,,member of the Sejm (from 2015-10-25) || member of the Sejm (2022-11-01 to 2022-11-16) || member of the Sejm (2020-12-01 to 2021-02-01) || member of the Sejm (2019-11-12 to 2020-12-01) || member of the Sejm (2021-02-01 to 2022-11-01) || member of the Sejm (from 2022-11-16) || Deputy Marshal of the Sejm of the Republic of Poland (2015-01-01 to 2019-01-01)
Michał Kobosko,Poland,Warsaw,TD,Renew Europe,Q11778888,2024-07-16,1968-04-15,Warsaw,SWPS University,politician || journalist || political activist,Newsweek Polska || Gazeta Wyborcza || RMF FM || Atlantic Council || Dziennik Polska-Europa-Świat || Wprost || Puls Biznesu || Dziennik Gazeta Prawna || Forbes,Poland 2050,,
Krzysztof Hetman,Poland,Greater Poland,TD,EPP,Q11749266,2024-07-16,1974-06-27,Lublin,Maria Curie-Skłodowska University,politician,,Polish People's Party,Gold Cross of Merit,member of the Sejm
Adam Jarubas,Poland,Lesser Poland & Świętokrzyskie,TD,EPP,Q9139694,2024-07-16,1974-12-17,Busko-Zdrój,Jan Kochanowski University || Q9296668,politician,Jan Kochanowski University,Polish People's Party,Gold Cross of Merit,member of the Sejm || voivodeship marshal (from 2006-01-01)
Robert Biedroń,Poland,Warsaw,Lewica,S&D,Q174491,2024-07-16,1976-04-13,Rymanów,University of Warmia and Mazury in Olsztyn,politician || opinion journalist || local politician || activist,,Democratic Left Alliance || Palikot's Movement || Social Democracy of the Republic of Poland || Spring || New Left,Rainbow Laurel || Knight of the National Order of Merit || Anna Laszuk Award granted by Radio TOK FM,mayor of Słupsk (2014-12-06 to 2018-11-21) || member of the Sejm (2011-11-08 to 2014-12-08) || Representative of the Parliamentary Assembly of the Council of Europe (2012-01-23 to 2015-01-25)
Joanna Scheuring-Wielgus,Poland,Greater Poland,Lewica,S&D,Q21282118,2024-07-16,1972-02-08,Toruń,Nicolaus Copernicus University in Toruń,politician || cultural manager,,Nowoczesna || New Left,,member of the Sejm
Krzysztof Śmiszek,Poland,Lower Silesian and Opole,Lewica,S&D,Q28123976,2024-07-16,1979-08-25,Stalowa Wola,"Faculty of Law and Administration, University of Warsaw",politician || jurist || LGBTQ rights activist,,Spring || New Left,,member of the Sejm (from 2019-11-12)
Marta Temido,Portugal,,PS,S&D,Q57339530,2024-07-16,1974-03-02,Coimbra,University of Coimbra || University of Lisbon,politician,,Socialist Party,,member of the Assembly of the Republic (from 2022-09-10) || Minister of Health (2018-10-15 to 2022-09-10)
Francisco Assis,Portugal,,PS,S&D,Q656518,2024-07-16,1965-01-08,Amarante,University of Porto,politician,,Socialist Party,,Representative of the Parliamentary Assembly of the Council of Europe (1996-01-22 to 2000-01-24) || member of the Assembly of the Republic || Representative of the Parliamentary Assembly of the Council of Europe (2002-06-24 to 2005-01-24) || Mayor of Amarante (1989-12-17 to 1995-09-01) || Representative of the Parliamentary Assembly of the Council of Europe (2010-01-25 to 2014-06-22)
Ana Catarina Mendes,Portugal,,PS,S&D,Q65498266,2024-07-16,1973-01-14,Coimbra,,politician,,Socialist Party,,substitute member of the Parliamentary Assembly of the Council of Europe (2011-10-03 to 2014-09-29) || member of the Assembly of the Republic || Representative of the Parliamentary Assembly of the Council of Europe (2014-09-29 to 2022-06-19) || Representative of the Parliamentary Assembly of the Council of Europe (2011-01-24 to 2011-10-03) || substitute member of the Parliamentary Assembly of the Council of Europe (2005-06-06 to 2011-01-24) || Minister of Parliamentary Affairs (2022-03-30 to 2024-04-02)
Bruno Gonçalves,Portugal,,PS,S&D,Q127226353,2024-07-16,1996-12-27,Braga,,politician,,,,
André Rodrigues,Portugal,,PS,S&D,Q126486908,2024-07-16,1977-02-12,Ponta Delgada,,politician,,,,member of the Legislative Assembly of the Azores
Carla Tavares,Portugal,,PS,S&D,Q125581901,2024-07-16,1970-08-15,Lisbon,Universidade Autónoma de Lisboa,politician,,,,Mayor of Amadora (2013-10-21 to 2024-04-29)
Isilda Gomes,Portugal,,PS,S&D,Q10303913,2024-07-16,1951-09-16,Mido,,politician,,,,member of the Assembly of the Republic || Mayor of Portimão (from 2013-09-29)
Sérgio Gonçalves,Portugal,,PS,S&D,Q127009304,2024-07-16,1979-04-07,Funchal,,politician,,,,member of the Legislative Assembly of Madeira
Sebastião Bugalho,Portugal,,AD,EPP,Q114398640,2024-07-16,1995-11-15,Lisbon,,politician || pundit,,,,
Paulo Cunha,Portugal,,AD,EPP,Q125556730,2024-07-16,1971-08-22,Vila Nova de Famalicão,,lawyer || politician || university teacher,,,,
Ana Miguel Pedro,Portugal,,AD,EPP,Q127271825,2024-07-16,1988-10-07,Oliveira de Azeméis,,politician,,,,
Hélder Sousa Silva,Portugal,,AD,EPP,Q16940072,2024-07-16,1965-07-21,Mafra,Catholic University of Portugal || Instituto Superior Técnico,politician,,,,member of the Assembly of the Republic
Lídia Pereira,Portugal,,AD,EPP,Q63141476,2024-07-16,1991-07-26,Sé Nova,University of Coimbra || College of Europe,politician,,Social Democratic Party,,president (from 2018-01-01) || vice president (2017-01-01 to 2017-01-01)
Sérgio Humberto,Portugal,,AD,EPP,Q117409487,2024-07-16,1975-11-07,Trofa,,politician,,Social Democratic Party,,Mayor of Trofa (from 2013-09-29) || member of the Assembly of the Republic
Paulo do Nascimento Cabral,Portugal,,AD,EPP,Q127511267,2024-07-16,1981-08-20,Ponta Delgada,,politician,,,,
António Tânger Corrêa,Portugal,,CH,Patriots for Europe,,,,,,,,,,
Tiago Moreira de Sá,Portugal,,CH,Patriots for Europe,Q65174877,2024-07-16,1971-01-12,Lisbon,,politician || historian || university teacher,,Social Democratic Party || Chega,,member of the Assembly of the Republic (2022-03-29 to 2024-03-25)
João Cotrim de Figueiredo,Portugal,,IL,Renew Europe,Q72310730,2024-07-16,1961-06-24,Lisbon,London School of Economics and Political Science,politician,,Liberal Initiative,,member of the Assembly of the Republic (2019-10-25 to 2022-03-28)
Ana Vasconcelos Martins,Portugal,,IL,Renew Europe,,,,,,,,,,
Catarina Martins,Portugal,,BE,The Left,Q612666,2024-01-01,1973-09-07,Porto,University of Porto || Universidade Aberta de Portugal,actor || politician || stage actor,,Left Bloc,,Coordenador Nacional do Bloco de Esquerda (2012-11-11 to 2023-05-28) || member of the Assembly of the Republic || member of the Assembly of the Republic
João Oliveira,Portugal,,CDU,The Left,Q47539921,2024-01-01,1979-07-09,Évora,,lawyer || politician,,Portuguese Communist Party,,member of the Assembly of the Republic
Mihai Tudose,Romania,,PSD–PNL,S&D,Q12735517,2024-07-16,1967-03-06,Brăila,Dimitrie Cantemir Christian University,politician || jurist,,Social Democratic Party,,"member of the Chamber of Deputies of Romania (2000-01-01 to 2004-01-01) || Minister of the Economy, Digitalization, Entrepreneurship and Tourism (2014-12-17 to 2015-11-17) || member of the Chamber of Deputies of Romania (2008-12-12 to 2012-12-10) || member of the Chamber of Deputies of Romania (2016-12-21 to 2019-06-19) || member of the Chamber of Deputies of Romania (2012-01-01 to 2016-01-01) || Minister of the Economy, Digitalization, Entrepreneurship and Tourism (2017-02-23 to 2017-06-29) || Representative of the Parliamentary Assembly of the Council of Europe (2007-01-22 to 2015-04-19) || substitute member of the Parliamentary Assembly of the Council of Europe (2001-01-22 to 2007-01-22) || Prime Minister of Romania (2017-06-29 to 2018-01-16) || associate professor || Representative of the Parliamentary Assembly of the Council of Europe (2016-05-27 to 2017-04-23) || member of the Chamber of Deputies of Romania (2004-01-01 to 2008-01-01)"
